HTS 6D,naics
,311224
230650,311223
,311224
230660,311223
,311224
230670,311221
230690,311221
,311223
,311224
230700,312130
230800,113210
,311119
,311223
,311224
,311411
,311423
230810,113210
230890,311119
,311223
,311411
230910,311111
230990,311119
240110,111910
240120,111910
240130,111910
240210,312229
,312230
240220,312221
,312230
240290,312221
,312230
240310,312229
240311,312230
240319,312230
240391,312229
,312230
240399,312229
,312230
240411,312230
240412,325411
240419,312230
,325411
,325998
240491,325411
240492,325411
240499,325411
250100,212393
250200,212393
250300,212393
,325180
,325188
250410,327992
250490,212399
250510,212322
250590,212322
250610,212311
250620,212311
250621,212311
250629,212311
250700,212324
250810,212325
250820,212325
250830,212325
250840,212325
250850,212325
250860,212325
250870,212325
250900,212312
,212319
251010,212392
251020,212392
251110,212393
,325130
,327992
251120,212393
251200,212399
251310,212399
,327910
251311,212399
251319,327910
251320,212399
,327910
251400,212311
251511,212311
251512,212311
251520,212311
251611,212311
251612,212311
251620,212311
251621,212311
251622,212311
251690,212311
251710,212319
,212321
,212322
251720,324121
251730,324121
251741,212319
251749,212319
251810,212311
,212319
251820,327410
251830,327992
251910,212325
251990,327992
252010,212399
252020,327420
252100,212319
252210,327410
252220,327410
252230,327310
,327410
252310,327310
252321,327310
252329,327310
252330,327310
252390,327310
252400,212399
252410,212399
252490,212399
252510,212399
,327999
252520,327992
252530,910000
252610,212399
252620,327992
252700,212399
252800,212391
252810,212391
252890,212391
252910,212325
252921,212393
252922,212393
252930,212325
253010,212399
253020,212391
,212399
253040,212393
253090,212393
,212399
260111,212210
260112,212210
260120,327992
,331110
260200,212299
260300,212230
,212234
260400,212230
,212234
260500,212299
260600,212299
260700,212230
,212231
260800,212230
,212231
260900,212299
261000,212299
261100,212299
261210,212291
261220,212299
261310,212299
261390,212299
261400,212299
261510,212299
261590,212291
,212299
261610,212222
261690,212221
261710,212299
261790,212299
261800,331110
,331111
261900,331110
,331111
262011,331410
,331419
262019,331410
,331419
262020,331419
262021,331410
,331419
262029,331410
,331419
262030,331410
,331419
262040,331410
,331419
262050,331419
262060,325199
,910000
262090,331419
262091,910000
262099,331410
,331419
,910000
262100,910000
262110,910000
262190,910000
270111,212113
270112,212112
270119,212112
270120,324110
,324199
270210,212111
,212112
270220,212111
,212112
270300,212399
270400,331110
,331111
270500,331110
,331111
270600,331110
,331111
270710,325110
,325192
,325194
270720,325110
,325192
,325194
270730,325110
,325192
,325194
270740,325110
,325192
,325194
270750,325110
,325192
,325194
270760,325192
270791,325192
,325194
270799,324110
,324199
,325192
,325194
270810,325192
,325194
270820,325192
,325194
270900,211111
,211112
,211120
,211130
271000,211112
,324110
271011,324110
271012,324110
271019,324110
271020,324110
271091,324110
271099,324110
271111,211111
,211112
,211130
271112,211112
,211130
271113,211112
,211130
271114,325110
271119,211112
,211130
271121,211111
,211130
271129,211112
,211130
271210,324110
271220,324110
271290,324110
271311,324110
271312,324110
271320,324110
271390,324110
271410,211111
,211120
,212399
271490,212399
271500,324121
271600,990000
280110,325180
,325181
280120,325180
,325188
280130,325180
,325188
280200,325180
,325188
280300,325180
,325182
280410,325120
280421,325120
280429,325120
280430,325120
280440,325120
280450,325120
,331410
,331419
280461,331410
,331419
280469,331410
,331419
280470,325180
,325188
280480,325180
,325188
280490,331410
,331419
280511,325180
,325188
280512,325180
,325188
280519,325180
,325188
280521,325188
280522,325188
280530,325180
,325188
280540,325180
,325188
280610,325180
,325188
280620,325180
,325188
280700,325180
,325188
280800,325180
,325188
,325311
280910,325180
,325188
280920,325312
281000,325180
,325188
281111,325180
,325188
281112,325180
281119,325180
,325188
281121,325120
281122,325180
,325188
281123,325188
281129,325180
,325188
281210,325180
,325188
281211,325180
281212,325180
281213,325180
281214,325180
281215,325180
281216,325180
281217,325180
281219,325180
281290,325180
,325188
281310,325180
,325188
281390,325180
,325188
281410,325311
281420,325311
281511,325180
,325181
281512,325180
,325181
281520,325180
,325181
281530,325180
,325181
281610,325180
,325188
281620,325188
281630,325188
281640,325180
,325188
281700,325180
,325188
281810,327910
281820,331311
,331313
281830,325180
,325188
281910,325180
,325188
281990,325180
,325188
282010,325180
,325188
282090,325180
,325188
282110,325130
,325131
,325180
,325188
282120,325130
,325131
282200,325180
,325188
282300,325130
,325131
282410,325130
,325131
,325180
282420,325131
282490,325130
,325131
,325180
282510,325180
,325188
282520,325180
,325188
282530,325180
,325188
282540,325180
,325188
282550,325180
,325188
282560,325180
,325188
282570,325180
,325188
282580,325130
,325131
282590,325180
,325188
282611,325188
282612,325180
,325188
282619,325180
,325188
282620,325188
282630,325180
,325188
282690,325180
,325188
282710,325180
,325188
282720,325180
,325188
282731,325180
,325188
282732,325180
,325188
282733,325188
282734,325188
282735,325180
,325188
282736,325188
282738,325188
282739,325180
,325188
282741,325180
,325188
282749,325180
,325188
282751,325180
,325188
282759,325180
,325188
282760,325180
,325188
282810,325180
,325188
282890,325180
,325188
282911,325180
,325188
282919,325180
,325188
282990,325180
,325188
283010,325180
,325188
283020,325188
283030,325188
283090,325180
,325188
283110,325180
,325188
283190,325180
,325188
283210,325180
,325188
283220,325180
,325188
283230,325180
,325188
283311,325180
,325188
283319,325180
,325188
283321,325180
,325188
283322,325180
,325188
283323,325188
283324,325180
,325188
283325,325180
,325188
283326,325188
283327,325180
,325188
283329,325180
,325188
283330,325180
,325188
283340,325180
,325188
283410,325180
,325188
283421,325180
,325188
283422,325188
283429,325180
,325188
283510,325180
,325188
283522,325180
,325188
283523,325188
283524,325180
,325188
283525,325180
,325188
283526,325180
,325188
283529,325180
,325188
,325312
283531,325180
,325188
283539,325180
,325188
283610,325311
283620,325180
,325181
283630,325180
,325181
283640,325180
,325181
283650,325180
,325188
283660,325180
,325188
283670,325188
283691,325180
,325188
283692,325180
,325188
283699,325180
,325188
,325311
283711,325180
,325188
283719,325180
,325188
283720,325180
,325188
283800,325188
283911,325180
,325188
283919,325180
,325188
283920,325188
283990,325180
,325188
284011,325180
,325188
284019,325180
,325188
284020,325180
,325188
284030,325180
,325188
284110,325188
284120,325131
284130,325180
,325188
284140,325188
284150,325180
,325188
284161,325180
,325188
284169,325180
,325188
284170,325180
,325188
284180,325180
,325188
284190,325130
,325131
,325180
,325188
284210,325180
,325188
284290,325180
,325188
284310,325180
,325188
284321,325180
,325188
284329,325180
,325188
284330,325180
,325188
284390,325180
,325188
284410,325180
,325188
284420,325180
,325188
284430,325180
,325188
284440,325180
,325188
284441,325180
284442,325180
284443,325180
284444,325180
284450,325180
,325188
284510,325180
,325188
284520,325180
284530,325180
284540,325180
284590,325180
,325188
284610,325180
,325188
284690,325180
,325188
284700,325180
,325188
284800,325180
,325188
284910,325180
,325188
284920,327910
284990,327910
285000,325180
,325188
285100,325188
285200,325188
,325199
285210,325180
285290,325180
285300,325180
,325188
285310,325180
285390,325180
290110,325110
,325199
290121,325110
290122,325110
290123,325110
290124,325110
290129,325110
,325199
290211,325192
,325194
290219,325192
,325194
290220,324110
290230,324110
290241,325110
,325192
,325194
290242,325110
,325192
,325194
290243,325110
,325192
,325194
290244,324110
290250,325192
,325194
290260,325192
,325194
290270,325192
,325194
290290,325192
,325194
290311,325199
290312,325199
290313,325199
290314,325199
290315,325199
290316,325199
290319,325199
290321,325199
290322,325199
290323,325199
290329,325199
290330,325199
290331,325180
,325188
290339,325199
290341,325120
,325199
290342,325120
,325199
290343,325120
,325199
290344,325120
,325199
290345,325120
,325199
290346,325120
,325199
290347,325199
290348,325199
290349,325120
,325199
290351,325199
290352,325199
290359,325199
290361,325199
290362,325180
,325199
290369,325199
290371,325120
290372,325199
290373,325199
290374,325199
290375,325199
290376,325120
290377,325120
290378,325199
290379,325199
290381,325199
290382,325199
290383,325199
290389,325199
290391,325199
290392,325199
290393,325199
290394,325199
290399,325199
290410,325199
290420,325199
290431,325199
290432,325199
290433,325199
290434,325199
290435,325199
290436,325199
290490,325199
290491,325199
290499,325199
290511,325199
290512,325199
290513,325199
290514,325199
290515,325199
290516,325199
290517,325199
290519,325199
290522,325199
290529,325199
290531,325199
290532,325199
290539,325199
290541,325199
290542,325199
290543,325199
290544,325199
290545,325199
290549,325199
290550,325199
290551,325199
290559,325199
290611,325199
290612,325199
290613,325199
290614,325199
290619,325199
290621,325199
290629,325199
290711,325199
290712,325192
,325194
290713,325192
,325194
290714,325192
290715,325192
,325194
290719,325192
,325194
,325411
290721,325192
,325194
290722,325192
,325194
290723,325192
,325211
290729,325192
,325194
,325199
,325211
290730,325199
290810,325199
290811,325199
290819,325199
290820,325199
290890,325199
290891,325199
290892,325199
290899,325199
290911,325199
290919,325199
290920,325199
290930,325199
290941,325199
290942,325199
290943,325199
290944,325199
290949,325199
290950,325199
290960,325199
291010,325199
291020,325199
291030,325199
291040,325199
291050,325199
291090,325199
291100,325199
291211,325199
291212,325199
291213,325199
291219,325199
291221,325199
291229,325199
291230,325199
291241,325199
291242,325199
291249,325199
291250,325199
291260,325199
291300,325199
291411,325199
291412,325199
291413,325199
291419,325199
291421,325199
291422,325199
291423,325199
291429,325199
291431,325199
291439,325199
291440,325199
291450,325199
291461,325199
291462,325199
291469,325199
291470,325199
291471,325199
291479,325199
291511,325199
291512,325199
291513,325199
